1	30	7.33
2	34.14	7.33
3	43.9	7.33
4	46.34	9.76
5	34.14	14.5
6	38	14.5
7	0	18.29
8	30	18.29
9	30.85	18.29
10	32.93	18.29
11	34.14	18.29
12	38	18.29
13	0	20.73
14	10.97	20.73
15	13.41	20.73
16	19	20.73
17	25	20.73
18	27.3	20.73
19	30.85	20.73
20	32.93	20.73
21	36.1	20.73
22	40.24	20.73
23	0	25
24	4.3	25
25	27.3	24
26	30.85	24
27	36.1	24
28	27.3	27.13
29	30.85	27.13
30	27.3	30.49
31	30.85	30.49
32	27.3	33.64
33	30.85	33.64
34	7.9	36.08
35	14.33	36.08
36	27.3	36.88
37	30.85	36.88
38	0	41.1
39	4.3	41.1
40	7.9	40.86
41	14.33	40.86
42	27.3	40.66
43	30.85	40.66
44	0	44.3
45	4.3	44.3
46	27.3	45.94
47	0	51.22
48	4.3	51.22
49	8.217	52.02
50	15.85	52.02
51	0	55.26
52	8.217	55.26
53	19	55.26
54	25	55.26
55	27.3	55.26
56	44.1	54.88
57	27.3	58.93
58	30.37	58.93
59	30.37	64.63
60	37.8	68.3
61	15.85	75
62	27.3	75
